Time,AUD,CAD,CNY,EUR,GBP,JPY,KRW,PLN,USD,others
2013-03-22 00:00:00 UTC,2338.92739864,163.09595126,4867.282,19274.67383747,2340.95031186,1776.77260517,,804.43736585,85530.76628828,3182.9207316699994
2013-03-23 00:00:00 UTC,1430.63739634,887.83750692,12096.284,27777.04801697,3018.8557154,566.96393047,,1252.10502227,166041.82016345,1714.87354066
2013-03-24 00:00:00 UTC,1052.21506485,34.93824443,3493.087,10625.85198507,760.87511707,10.67499862,,193.16589111,50507.09455249,997.2150201600001
2013-03-25 00:00:00 UTC,3251.90299473,188.92782154,4723.63,17554.49988668,2873.46271942,2030.12572323,,384.15497395,93269.46276932,1338.07998266
2013-03-26 00:00:00 UTC,1422.46254948,146.70059612,4654.994,12934.07799357,3172.30508799,2421.89875154,,248.68546997,68841.22785356,1081.80601806
2013-03-27 00:00:00 UTC,2176.91394982,172.13772488,9395.984,27354.20185765,2284.75145342,1774.07328046,,1032.52336647,86639.10210185,1635.9382082700001
2013-03-28 00:00:00 UTC,3151.69837291,179.57992413,10028.1885,35301.03336604,6192.68894101,2547.16801231,,1309.42883487,168506.73611973,2426.8808043700005
2013-03-29 00:00:00 UTC,850.52789986,200.25021685,8064.631,16169.00854073,2389.9151685,1273.06978953,,1783.55862643,100241.69637229,820.0889252
2013-03-30 00:00:00 UTC,266.25086011,9.0256074,2905.684,5284.91025195,725.79368341,252.44837679,,1103.45103668,45324.570403,920.50806965
2013-03-31 00:00:00 UTC,157.52990974,72.6552485,1406.89,5061.25356824,475.28568978,121.31267554,,158.85317434,27518.64439074,680.37339055
2013-04-01 00:00:00 UTC,1356.35461052,591.90235423,7801.958,13777.75009521,2277.21481585,2377.3597652,,553.91039019,116176.93585834,2832.23011087
2013-04-02 00:00:00 UTC,3779.02950043,2352.7121117,7544.464,17421.09899366,2844.94483567,4066.42877807,,603.0929662,112014.23015343,3224.78037355
2013-04-03 00:00:00 UTC,4178.36199881,3975.50481888,12519.513,36634.20006677,5852.87081814,3771.94273704,,5433.43005382,208432.86795637,4007.4417865899995
2013-04-04 00:00:00 UTC,1961.83648051,1946.77958636,5934.122,16875.19412354,3976.38709871,2743.43854583,,2683.43512288,114085.37782278,1822.1367366099998
2013-04-05 00:00:00 UTC,1259.73714487,1724.94945509,2230.2,15322.96846919,2328.64080711,1958.10644452,,2688.69450031,92872.9676409601,2822.02406139
2013-04-06 00:00:00 UTC,410.25196477,1093.12957058,2431.273,9233.95068963,779.53596436,880.42703071,,703.71765474,31838.27024342,1682.05055711
2013-04-07 00:00:00 UTC,798.98964753,739.41594231,4389.37,18842.05326039,2413.55206631,322.22110434,,2350.12729177,81648.5774427701,1609.2043439200002
2013-04-08 00:00:00 UTC,3349.74115108,2206.51542918,8544.747,22453.24002018,3986.52512404,4625.56164792,,4935.92891634,156311.13326084,3254.7722992499994
2013-04-09 00:00:00 UTC,4123.22751993,2824.10037668,9741.375,25216.48184231,4763.56661334,2917.36658167,,5303.12995245,138670.87477263,2648.9946912200003
2013-04-10 00:00:00 UTC,6418.8997243,9604.97087782,18128.2818,78598.9933846199,7678.23317644,3116.26914307,,4529.00807546,231138.06380188,3579.5595252900002
2013-04-11 00:00:00 UTC,4144.66869461,9542.86935222,14829.018,76965.6860997102,3677.56175687,2977.01534418,,3734.29579537,257001.158950641,6198.89751758001
2013-04-12 00:00:00 UTC,10567.14692336,8491.43068217,16889.35192049,114089.317167221,18909.06554991,8440.91411447,,4240.33892539,717577.972004927,6622.075545669999
2013-04-13 00:00:00 UTC,2818.51863157,3644.83968558,13221.76,27561.77826669,5343.34829816,1259.49501437,,1968.60729132,323902.47929592,4209.81185952
2013-04-14 00:00:00 UTC,1775.22812956,1893.26669964,7867.4582,13851.85740954,1754.13373493,1078.6787697,,1593.43188891,210292.99117721,1689.3352802199997
2013-04-15 00:00:00 UTC,4758.16728458,2899.93478662,13430.85056116,25265.42593586,4751.9555332,3026.60959344,,1354.28957338,312687.65781834,3139.7205100099995
2013-04-16 00:00:00 UTC,13864.38821803,5682.62681317,28865.29794151,58032.94728242,14212.92801611,9107.88272633,,4131.42531585,710917.56260954,6040.524690589999
2013-04-17 00:00:00 UTC,5334.97146656,3094.3343991,18753.4650109,32798.74783202,11127.94886756,3630.56182243,,5141.84848587,432726.86274158,3601.2414660900004
2013-04-18 00:00:00 UTC,3062.65858369,1983.5066906,13492.988,16731.01656651,4418.85154456,3127.71383053,,2868.15350169,219147.62953905,2142.33000675
2013-04-19 00:00:00 UTC,3960.91951289,2410.0555625,20870.9619776,26351.49083719,6948.27333617,2508.05726861,,5577.15824685,337808.94348328,4117.141798770001
2013-04-20 00:00:00 UTC,586.72931662,1316.47911677,5107.89030333,5063.67134487,1434.8907037,183.51389535,,1789.07003569,98843.0010268301,1824.1335330299999
2013-04-21 00:00:00 UTC,1121.83120449,1862.01427975,17364.573,12424.24012425,2154.630578,844.23991275,,2422.9958831,147285.86348336,2356.7696310100005
2013-04-22 00:00:00 UTC,1996.25842036,871.81962558,4707.701,4199.46181405,1171.37056804,334.7321032,,997.33638314,79233.3559510601,987.4843056100001
